# Data-center restriction & condition actions — snapshot 2026-08-15. License CC-BY-4.0. Includes data from Moratorium Nation (ALEA Institute, https://mjbommar.github.io/moratorium-data-2026/, CC-BY-4.0) and datacentertracker.org (CC BY 4.0). Documented actions, not a census.
id,dataset,level,state,state_fips,jurisdiction,jurisdiction_type,action_type,class,status,date,mw_threshold,lat,lon,geocode,county_fips,county_name,county_wide,summary,source_name,source_url,note
sc-rate-law-2025,curated_state,state,SC,45,South Carolina (statewide),state,ratepayer_law,condition,enacted,2025-05-12,,,,none,,,,"Authorizes (does not require) utilities to negotiate economic-development rates for large loads, with a marginal-cost floor and PSC just-and-reasonable review. The Senate's data-center PPA mandate was stripped before passage","South Carolina Legislature, H.3309 (Act No. 41 of 2025)",https://www.scstatehouse.gov/sess126_2025-2026/bills/3309.htm,"Instrument: H.3309, Energy Security Act (Act No. 41 of 2025)"
sd-sb135-2026,curated_state,state,SD,46,South Dakota (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,SB 135 (enacted 2026): large-load law that also protects local siting authority over data centers,Clean Energy Group 2026 inventory (NCSL deck corroborates),https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Instrument: SB 135
tn-hb1847-2026,curated_state,state,TN,47,Tennessee (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,HB 1847 (enacted 2026): large-load tariff and cost-allocation law for data centers,Clean Energy Group 2026 inventory (NCSL deck corroborates),https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Instrument: HB 1847
tx-sb6-2025,curated_state,state,TX,48,Texas (statewide),state,ratepayer_law,condition,enacted,2025-06-20,75,,,none,,,,"SB 6: 75 MW+ ERCOT loads accept mandatory emergency curtailment with 24-hour notice, pay interconnection study fees, and disclose behind-the-meter generation",McGuireWoods client alert,https://www.mcguirewoods.com/client-resources/alerts/2025/7/texas-senate-bill-6-significantly-expands-regulatory-oversight-over-large-loads-in-ercot/,Instrument: SB 6
ut-sb132-2025,curated_state,state,UT,49,Utah (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,SB 132 (enacted 2025): large-load tariff and cost-allocation law for data centers,NCSL May 2026 deck (Montana Legislature mirror),https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,Instrument: SB 132
va-consumption-tax-2026,curated_state,state,VA,51,Virginia (statewide),state,tax_action,condition,enacted,2026-06-30,,,,none,,,,"First-in-nation $0.011/kWh data center electricity consumption tax, capped at $600M/yr with pro-rata refunds, effective July 1, 2026, expires June 30, 2028; the sales-tax exemption was preserved",Williams Mullen client alert,https://www.williamsmullen.com/insights/news/legal-news/virginia-budget-creates-new-electricity-consumption-tax-data-centers,Instrument: 2026 budget (HB 30)
va-hb284-2026,curated_state,state,VA,51,Virginia (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,"HB 284 (enacted 2026): large-load ratepayer law, one of 15 data-center bills Virginia passed in the 2026 session",Clean Energy Group 2026 inventory (NCSL deck corroborates),https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Instrument: HB 284
wa-sb6231-2026,curated_state,state,WA,53,Washington (statewide),state,incentive_rollback,condition,enacted,,,,,none,,,,SB 6231 (enacted 2026): narrows the data center tax exemption to refurbished facilities only,NCSL May 2026 deck (Montana Legislature mirror),https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,Instrument: SB 6231
wv-hb2014-2025,curated_state,state,WV,54,West Virginia (statewide),state,preemption,preemption,enacted,2025-04-30,,,,none,,,,HB 2014 preempts local regulation of data centers and creates microgrid districts insulated from ratepayer grids,MultiState,https://www.multistate.us/insider/2026/1/15/state-data-center-legislation-faces-local-zoning-battles,Instrument: HB 2014
ga-psc-rule-tariff-2025,curated_tariff,puc,GA,13,Georgia Power (PSC rule) territory,utility,large_load_tariff,condition,in_force,2025-02-01,100,,,none,,,,"Georgia PSC rule effective February 1, 2025: new 100 MW+ customers take custom contracts with minimum billing, terms up to 15 years, and PSC review 30 days before execution",Georgia PSC media advisory,https://psc.ga.gov/site/assets/files/8617/media_advisory_data_centers_rule_1-23-2025.pdf,Docket GA PSC docket 44280; term 15 yr
in-im-tariff-2025,curated_tariff,puc,IN,18,Indiana Michigan Power territory,utility,large_load_tariff,condition,in_force,2025-02-19,,,,none,,,,"IURC-approved settlement (order February 19, 2025): 80% minimum billing demand and 12-year minimum contracts after a 5-year ramp; signed by Amazon, Microsoft, Google, the Data Center Coalition, and consumer advocates",Indiana Capital Chronicle / IURC order 46097,https://indianacapitalchronicle.com/2024/11/26/ratepayer-advocates-hail-landmark-settlement-with-data-centers-utility-company/,Docket IURC cause 46097; minimum take 80%; term 12 yr
mi-consumers-tariff-2025,curated_tariff,puc,MI,26,Consumers Energy territory,utility,large_load_tariff,condition,enacted,2025-11-06,100,,,none,,,,"Rate GPD data-center provisions: 100 MW threshold (or 100 MW aggregated across 20 MW+ common-owner sites), 15-year minimum contracts, 80% minimum billing demand, ramp of up to 5 years, automatic 5-year extensions absent 4 years' notice","Michigan PSC news release, Case U-21859",https://www.michigan.gov/mpsc/commission/news-releases/2025/11/06/mpsc-approves-terms-of-service-between-consumers-energy-and-data-centers,Docket MPSC U-21859; minimum take 80%; term 15 yr
mo-evergy-tariff-2025,curated_tariff,puc,MO,29,Evergy territory,utility,large_load_tariff,condition,enacted,2025-11-13,75,,,none,,,,"Large Load Power Service plan approved 4-0 (effective Dec 13, 2025) implementing SB 4: 75 MW+ eligibility, minimum monthly bill with an 80% demand-charge floor, 12-year minimum terms plus up to a 5-year ramp, exit charges and a cost stabilization rider","Missouri PSC Report and Order, Case EO-2025-0154",https://efis.psc.mo.gov/Document/Display/857331,Docket MO PSC EO-2025-0154; minimum take 80%; term 12 yr
oh-aep-tariff-2025,curated_tariff,puc,OH,39,AEP Ohio territory,utility,large_load_tariff,condition,in_force,2025-07-09,25,,,none,,,,"PUCO-approved tariff (July 9, 2025, effective July 23): 25 MW+ data centers pay at least 85% of subscribed capacity for up to 12 years (4-year ramp), with an exit fee equal to three years of minimum charges; under appeal at the Ohio Supreme Court",PUCO,https://puco.ohio.gov/news/puco-orders-aep-ohio-to-create-data-center-specific-tariff,Docket PUCO 24-0508-EL-ATA; minimum take 85%; term 12 yr
or-pge-sch96-tariff-2026,curated_tariff,puc,OR,41,Portland General Electric (Schedule 96) territory,utility,large_load_tariff,condition,in_force,2026-05-07,,,,none,,,,"OPUC-approved Schedule 96 (May 7, 2026) under the POWER Act: 90% minimum demand charge, 100% of distribution upgrades paid by the customer, 10-30 year contracts, and a 1 cent/kWh surcharge above 100 MW funding low-income energy programs",Utility Dive / OPUC docket UM 2377,https://www.utilitydive.com/news/oregon-puc-approves-pges-large-load-tariff-framework-for-data-centers/821361/,Docket OPUC UM 2377; minimum take 90%
tx-epe-tariff-2025,curated_tariff,puc,TX,48,El Paso Electric territory,utility,large_load_tariff,condition,enacted,2025-07-31,,,,none,,,,"Economic-development rate riders (Schedules 33A/33B) approved by settlement for a 100 MW+ data center, with a floor at the utility's incremental cost. A negotiated economic-development rate rather than a restrictive large-load tariff, noted for honesty. A follow-on update (Docket 59948) was pending as of mid-2026",PUCT Docket 56903 Final Order,https://interchange.puc.texas.gov/Documents/56903_55_1526529.PDF,Docket PUCT Docket 56903
va-dominion-energy-tariff-2026,curated_tariff,puc,VA,51,Dominion Energy territory,utility,large_load_tariff,condition,enacted,2026-07-31,,,,none,,,,"Mandatory contribution in aid of construction directly assigning the cost of substations and transmission lines built to serve new direct-connect large loads (data centers foremost) to those customers instead of all ratepayers. Cut the residential share of Dominion's ~$1.5B Rider T1 filing from $2.90 to $0.94 a month, and the SCC flagged a future docket on assigning more upstream transmission costs","Virginia Mercury (Aug 5, 2026); Governor's office release (Aug 10, 2026)",https://virginiamercury.com/2026/08/05/scc-orders-dominion-to-develop-tariff-to-assign-more-transmission-costs-to-data-centers/,"Docket SCC order on Dominion Rider T1 transmission cost allocation (July 31, 2026)"
va-dominion-gs5-tariff-2025,curated_tariff,puc,VA,51,Dominion Energy (GS-5) territory,utility,large_load_tariff,condition,enacted,2025-11-25,25,,,none,,,,"SCC-approved GS-5 class (November 25, 2025, effective January 1, 2027): 25 MW+ customers pay at least 85% of contracted distribution and transmission demand plus 60% of generation demand, minimum 14-year contracts, $1.5M/MW collateral",Virginia SCC news release,https://www.scc.virginia.gov/about-the-scc/newsreleases/release/scc-issues-order-on-dev-biennial-review-2025/scc-rules-in-dev-biennial-review-case.html,Docket VA SCC PUR-2025-00058; minimum take 85%; term 14 yr
dct-anchorage-ak-2026-03-03,datacentertracker,local,AK,02,Anchorage,municipality,zoning_exclusion,restriction,enacted,2026-03-27,,61.2181,-149.9003,source_dataset,,,False,"The Anchorage Assembly adopted Ordinance AO 2026-27 on March 27, 2026, establishing a new land use and permitting framework for data centers before receiving any large-scale applications. Data centers are defined as facilities requiring… (datacentertracker.org)",datacentertracker.org,https://www.dwt.com/blogs/energy--environmental-law-blog/2026/04/anchorage-adopts-data-center-framework,
dct-bessemer-al-2025-08-01,datacentertracker,local,AL,01,Bessemer,municipality,zoning_exclusion,restriction,enacted,2026-07-13,,33.4012,-86.9544,source_dataset,01073,Jefferson County,False,"Bessemer City Council voted 5-2 on November 18, 2025 to approve the Project Marvel data center on ~700 acres. The decision followed extensive community opposition. [Update 2026-07-14]: The Southern Environmental Law Center and Alabama… (datacentertracker.org)",datacentertracker.org,https://insideclimatenews.org/news/25092025/naacp-opposes-massive-alabama-data-center/,
dct-bessemer-al-expansion-2026-01,datacentertracker,local,AL,01,Bessemer (900-acre expansion),municipality,zoning_exclusion,restriction,enacted,2026-04-21,,33.4012,-86.9544,source_dataset,01073,Jefferson County,False,"On April 21, 2026, the Bessemer City Council voted 5-2 (Donna Thigpen and Cleo King opposed) to rezone approximately 914 acres from agricultural to light industrial for the 'Project Marvel' hyperscale data center campus, expanding the… (datacentertracker.org)",datacentertracker.org,https://insideclimatenews.org/news/11052025/bessemer-alabama-proposed-data-center/,
al-birmingham-2026,moratorium_nation,local,AL,01,Birmingham (city),municipality,moratorium,restriction,in_force,2026-03-03,20,33.52068,-86.80243,source_dataset,01073,Jefferson County,False,"180-day data-center moratorium, adopted 2026-03-03, active per tracker (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
dct-brookwood-al-rezoning-2026-08-11,datacentertracker,local,AL,01,Brookwood,municipality,zoning_exclusion,restriction,pending,2026-08-11,,33.2246,-87.3125,source_dataset,01125,Tuscaloosa County,False,"A roughly 1,200-acre data center rezoning request near Brookwood Middle School is headed to an August 11, 2026 vote. The mayor denied a request to pause the process for a referendum. Black Warrior Riverkeeper has raised concerns about… (datacentertracker.org)",datacentertracker.org,https://tuscaloosathread.com/alabama-data-center-election-debate/,
dct-columbiana-shelby-county-al-2026-02-17,datacentertracker,local,AL,01,Columbiana (Shelby County),municipality,zoning_exclusion,restriction,enacted,2026-02-17,,33.1782,-86.6064,source_dataset,01117,Shelby County,False,"Columbiana City Council unanimously approved a new ordinance imposing zoning restrictions on future data centers, becoming the first Alabama municipality to pass such restrictions ($200M). Requirements include: 60 ft max height (including… (datacentertracker.org)",datacentertracker.org,https://www.wbrc.com/2026/02/18/columbiana-passes-new-zoning-restrictions-data-centers/,
al-cullman-2026,moratorium_nation,local,AL,01,Cullman (city),municipality,moratorium,restriction,in_force,2026-06,,34.13353,-86.87793,source_dataset,01043,Cullman County,False,"365-day data-center moratorium, adopted 2026-06, active per tracker (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
dct-cullman-al-moratorium-2026-06-22,datacentertracker,local,AL,01,Cullman City Council,municipality,moratorium,restriction,enacted,2026-06-22,,34.1748,-86.8433,source_dataset,01043,Cullman County,False,Cullman City Council unanimously passed a 1-year moratorium on data centers and directed staff to draft a potential outright prohibition. (datacentertracker.org),datacentertracker.org,https://www.wbrc.com/2026/06/26/cullman-city-council-unanimously-passes-12-month-temporary-moratorium-data-centers/,
al-fairfield-2026,moratorium_nation,local,AL,01,Fairfield (city),municipality,moratorium,restriction,in_force,2026-07-27,,33.49168,-86.91503,source_dataset,01073,Jefferson County,False,"180-day data-center moratorium, adopted 2026-07-27, active per tracker (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
al-fort-payne-2026,moratorium_nation,local,AL,01,Fort Payne (city),municipality,moratorium,restriction,in_force,2026-06-16,,34.44425,-85.71969,source_dataset,01049,DeKalb County,False,"180-day data-center moratorium, adopted 2026-06-16, active per tracker (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
al-homewood-2026,moratorium_nation,local,AL,01,Homewood (city),municipality,moratorium,restriction,in_force,2026-06-22,,33.47371,-86.80845,source_dataset,01073,Jefferson County,False,"365-day data-center moratorium, adopted 2026-06-22, active per tracker (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
dct-hoover-al-2026-05-11,datacentertracker,local,AL,01,Hoover,municipality,ordinance_conditions,condition,enacted,2026-05-11,,33.4054,-86.8114,source_dataset,01073,Jefferson County,False,The Hoover City Council approved an ordinance in May 2026 requiring case-by-case council review of future data center projects rather than allowing them by-right. The measure gives the city discretionary control over whether to permit… (datacentertracker.org),datacentertracker.org,https://datacentertracker.org/,
al-hueytown-undated,moratorium_nation,local,AL,01,Hueytown (city),municipality,moratorium,restriction,pending,,,33.45122,-86.99666,source_dataset,01073,Jefferson County,False,"Data-center moratorium, adoption pending or unconfirmed (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
al-leeds-2026,moratorium_nation,local,AL,01,Leeds (city),municipality,moratorium,restriction,in_force,2026-06-08,,33.54392,-86.54275,source_dataset,01073,Jefferson County,False,"365-day data-center moratorium, adopted 2026-06-08, active per tracker (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
al-prichard-undated,moratorium_nation,local,AL,01,Prichard (city),municipality,moratorium,restriction,pending,,,30.7388,-88.07889,source_dataset,01097,Mobile County,False,"480-day data-center moratorium, adoption pending or unconfirmed (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
ar-carroll-county-2026,moratorium_nation,local,AR,05,Carroll County,county,moratorium,restriction,in_force,2026-06-16,,36.33867,-93.5093,source_dataset,05015,Carroll County,True,"365-day data-center moratorium, adopted 2026-06-16, active per tracker (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
dct-fayetteville-ar-conditional-use-2026-06-04,datacentertracker,local,AR,05,"Fayetteville (data center conditional-use amendments proposed), AR",municipality,zoning_exclusion,restriction,enacted,2026-06-16,,36.0626,-94.1574,source_dataset,05143,Washington County,False,"On June 4, 2026 Fayetteville Mayor Molly Rawn (with Councilman Scott Berna) announced proposed ordinance amendments making data centers a conditional use across all zoning districts (currently by-right in I-2 industrial), giving the… (datacentertracker.org)",datacentertracker.org,https://datacentertracker.org/,
ar-harrison-2023,moratorium_nation,local,AR,05,Harrison (city),municipality,moratorium,restriction,expired,2023-05-30,,36.22979,-93.10768,source_dataset,05009,Boone County,False,"365-day data-center moratorium, adopted 2023-05-30, since rescinded (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
dct-little-rock-ar-2025-06-01,datacentertracker,local,AR,05,Little Rock,municipality,zoning_exclusion,restriction,enacted,2025-06-01,,34.7465,-92.2896,source_dataset,05119,Pulaski County,False,"AVAIO Digital's 'Project Leo' — a $6B, 760-acre hyperscale data center campus near Little Rock — has broken ground with a fully approved Site Plan. The first phase (150 MW) is expected to be complete and energized by June 2027, with power… (datacentertracker.org)",datacentertracker.org,https://arkansasadvocate.com/2025/07/30/two-arkansas-cities-chase-data-center-gold-but-might-be-competing-against-each-other/,
dct-little-rock-ar-ordinance-2026-06-03,datacentertracker,local,AR,05,"Little Rock (citywide data center regulations approved), AR",municipality,zoning_exclusion,restriction,enacted,2026-06-03,,34.7465,-92.2896,source_dataset,05119,Pulaski County,False,"On June 3, 2026, Little Rock's Board of Directors unanimously approved new citywide data center regulations during an hours-long meeting that featured heavy criticism of a proposed ~$1B Google-backed data center project. (datacentertracker.org)",datacentertracker.org,https://datacentertracker.org/,
ar-russellville-2026,moratorium_nation,local,AR,05,Russellville (city),municipality,moratorium,restriction,in_force,2026-07-16,,35.27842,-93.13379,source_dataset,05115,Pope County,False,"180-day data-center moratorium, adopted 2026-07-16, active per tracker (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
ar-union-county-2026,moratorium_nation,local,AR,05,Union County,county,moratorium,restriction,in_force,2026-06-30,,33.16374,-92.6171,source_dataset,05139,Union County,True,"365-day data-center moratorium, adopted 2026-06-30, active per tracker (Moratorium Nation)",Moratorium Nation (ALEA Institute),https://mjbommar.github.io/moratorium-data-2026/,
dct-cochise-county-az-regulations-2026-04-07,datacentertracker,local,AZ,04,Cochise County,county,zoning_exclusion,restriction,enacted,2026-04-07,,31.879,-109.756,source_dataset,04003,Cochise County,True,"Cochise County Board of Supervisors voted 3-0 on April 7, 2026 to adopt new data center regulations requiring special use authorization, noise impact analyses, water use plans, proof that power supply won't adversely impact existing users… (datacentertracker.org)",datacentertracker.org,https://news.azpm.org/p/azpmnews/2026/4/10/229272-cochise-county-will-regulate-data-centers-but-some-residents-want-more/,
dct-goodyear-az-zoning-ordinance-2026-07-06,datacentertracker,local,AZ,04,Goodyear,municipality,zoning_exclusion,restriction,enacted,2026-07-06,,33.4353,-112.3576,source_dataset,04013,Maricopa County,False,"Goodyear City Council passed the city's first zoning ordinance overhaul since 1999, adding first-time data center and battery energy storage system (BESS) standards. Data centers now require a 300-ft residential setback plus noise… (datacentertracker.org)",datacentertracker.org,https://www.westvalleyview.com/news/goodyear-updates-zoning-ordinance/article_77028a57-b824-4794-92f5-f981749e0570.html,
dct-maricopa-county-zoning-ordinance-az-2025,datacentertracker,local,AZ,04,Maricopa County,county,zoning_exclusion,restriction,enacted,2025-12-10,,33.3484,-112.4955,source_dataset,04013,Maricopa County,True,"The Maricopa County, Arizona, Board of Supervisors unanimously approved a modernized zoning ordinance establishing specific rules for data center development, effective January 9, 2026. The new rules limit data centers to two industrial… (datacentertracker.org)",datacentertracker.org,https://www.kjzz.org/business/2025-12-11/maricopa-county-is-the-latest-arizona-government-to-set-up-data-center-zoning-rules,
dct-maricopa-county-az-project-baccara-2026-05-06,datacentertracker,local,AZ,04,"Maricopa County Board of Supervisors (Project Baccara military compatibility permit near Luke AFB), AZ",municipality,zoning_exclusion,restriction,enacted,2026-05-06,,33.4484,-112.074,source_dataset,04013,Maricopa County,True,"Maricopa County Board of Supervisors approved a military compatibility permit 4-1 (Supervisor Steve Gallardo dissenting) for Michigan-based Takanock's $10B Project Baccara — 160 acres, multiple buildings 100,000-500,000 sq ft, with a 700… (datacentertracker.org)",datacentertracker.org,https://datacentertracker.org/,
dct-mesa-az-2025-07-08,datacentertracker,local,AZ,04,Mesa,municipality,zoning_exclusion,restriction,enacted,2025-07-08,,33.4152,-111.8315,source_dataset,04013,Maricopa County,False,"Mesa City Council adopted new zoning rules on July 8, 2025, restricting data centers to General Industrial and Heavy Industrial zones (roughly 4.1% of city land) and requiring special use permits with City Council approval, design… (datacentertracker.org)",datacentertracker.org,https://www.kjzz.org/business/2025-07-14/mesa-city-council-approves-new-data-center-zoning-rules,
dct-mesa-az-2026-05-18,datacentertracker,local,AZ,04,Mesa,municipality,zoning_exclusion,restriction,pending,2026-05-18,,33.4152,-111.8315,source_dataset,04013,Maricopa County,False,A 2.3M sq ft NTT Global Data Centers campus in southeast Mesa passed its first Planning & Zoning review. A City Council vote was set for June 8. (datacentertracker.org),datacentertracker.org,https://datacentertracker.org/,
dct-pima-county-zoning-amendment-az-2026,datacentertracker,local,AZ,04,Pima County (CUP zoning amendment),county,zoning_exclusion,restriction,enacted,2025-12-16,,32.2226,-110.9747,source_dataset,04019,Pima County,True,"The Pima County Board of Supervisors approved Project Blue's CUP zoning amendment and the sale of 290 acres for nearly $21M to Beale Infrastructure on Christmas Eve 2025, despite significant community opposition. Project Blue (originally… (datacentertracker.org)",datacentertracker.org,https://www.kgun9.com/news/community-inspired-journalism/marana/maranas-data-center-ordinance,
dct-surprise-maricopa-county-az-2025-11-01,datacentertracker,local,AZ,04,Surprise (Maricopa County),municipality,zoning_exclusion,restriction,enacted,2026-05-06,,33.6292,-112.3679,source_dataset,04013,Maricopa County,False,"Takanock LLC (DigitalBridge-backed) Project Baccara: The Maricopa County Planning & Zoning Commission unanimously approved a military Special Use Permit on April 9, 2026 for the 2 million sq ft data center campus with a 700 MW gas plant… (datacentertracker.org)",datacentertracker.org,https://ktar.com/arizona-business/valley-data-center-scrutiny/5812647/,
