# Blocked data-center project outcome trace — snapshot 2026-08-19. License CC-BY-4.0. Compiled from local press and government records, one or more sources per project (sources column, name|url pairs joined by semicolons). followup_* columns mark the softest tier: same developer, nearby build, not confirmed as the same project. Corrections: joe@group17a.com. Documented statuses, not a census.
id,name,developer,jurisdiction,state,lat,lon,claimed_capex_usd_b,capex_label,mw,decision_date,outcome,destination_name,destination_lat,destination_lon,destination_same_metro,followup_name,followup_lat,followup_lon,followup_same_metro,followup_note,followup_sources,months_lost,confidence,note,sources
howell-meta,Howell Township campus,"Meta-linked ($1B, fronted by unnamed Fortune 100)","Howell Township (Livingston County), MI",MI,42.63,-83.95,1,developer-announced,,2025-12-08,died,,,,,,,,,,,,high,"After a unanimous township planning-commission denial on Sept 23, 2025, a county planning commission vote against the project on Nov 19, and a six-month township moratorium on Nov 20, the developer withdrew its 1,077-acre rezoning application, announced Dec 8, 2025. As of Aug 2026 the township is drafting a data-center ordinance with a possible industrial overlay district, and the project has not been refiled or documented at any alternative site.","GovTech - Michigan community works on data center rules after Meta withdraws|https://www.govtech.com/products/michigan-community-works-on-data-center-rules-after-meta-withdraws;Michigan Advance - trustee says Meta is behind Howell data center, moratorium|https://michiganadvance.com/2025/11/21/local-michigan-township-trustee-says-meta-is-behind-data-center-project-planned-near-howell/;Planet Detroit - Data center developers hit pause on $1 billion Howell Township proposal|https://planetdetroit.org/2025/12/billion-dollar-data-center-paused/;CBS Detroit - Howell Township data center developer withdraws application|https://www.cbsnews.com/detroit/news/howell-township-data-center-developer-withdraws-project-application;WILX - Howell Township Planning Commission votes to deny rezoning|https://www.wilx.com/2025/09/24/howell-township-planning-commission-votes-deny-rezoning-proposed-data-center/"
montour-talen,Montour County rezoning (Talen-linked),Talen Energy-linked,"Montour County, PA",PA,41.03,-76.66,,,,2026-02-10,pending_litigating,,,,,,,,,,,,high,"County commissioners unanimously denied Talen's request to rezone roughly 870 farmland acres near the Montour Preserve on Feb 10, 2026, after a petition of just under 3,000 signatures and school-board opposition. Talen says it still intends to develop a data center near its Montour plant and will return with a refined petition, and PA DEP accepted its air-permit application for two new gas turbines there in June 2026, but no new zoning application had been decided as of Aug 2026.",Pennsylvania Capital-Star - Montour County denies rezoning plan for data center|https://penncapital-star.com/energy-environment/montour-county-denies-rezoning-plan-that-would-have-allowed-a-data-center/;Inside Climate News - Pennsylvania county denies Talen Energy data center rezoning|https://insideclimatenews.org/news/11022026/pennsylvania-talen-energy-data-center-rezoning-denied/;WNEP - Montour County commissioners won't rezone near preserve|https://www.wnep.com/article/news/local/montour-county/data-center-talen-energy-montour-preserve-rezoning-vote/523-bd9d45bc-58b7-4590-80a1-1d2b30351550;Bucks County Beacon (Mar 2026) - Montour County aftermath and Talen's stated plans|https://buckscountybeacon.com/2026/03/montour-county-residents-prove-how-community-organizing-can-defeat-data-centers/;Marcellus Drilling News - PA DEP posts details on Talen's proposed Montour gas-fired plant|https://marcellusdrilling.com/2026/06/pa-dep-posts-details-on-talens-proposed-montour-gas-fired-plant/
east-whiteland-green-fig,Green Fig data center,Green Fig LLC (with Sentinel Data Centers),"East Whiteland Township (Chester County), PA",PA,40.033,-75.551,,,,2026-05-05,delayed_then_built,,,,,,,,,,,,high,"After months of opposition the developer scrapped the expanded 1.7M sq ft application in May 2026 and reverted to a previously approved 1.5M sq ft plan on the same Superfund site; a judge rejected residents' challenges in June, construction began in July, and after a brief township stop-work order over soil-safety review, East Whiteland allowed work to resume in late July 2026.","Philadelphia Inquirer (May 5, 2026) - developers revert to 1.5M sq ft plan|https://www.inquirer.com/news/pennsylvania/east-whiteland-data-center-20260505.html;Food & Water Watch (May 5, 2026) - expanded application withdrawn|https://www.foodandwaterwatch.org/2026/05/05/east-whiteland-pa-data-center-developer-withdraws-application-after-fierce-public-opposition/;Philadelphia Inquirer (June 11, 2026) - judge denies challenges|https://www.inquirer.com/news/pennsylvania/east-whiteland-data-center-judge-denial-challenges-20260611.html;Philadelphia Inquirer (July 30, 2026) - work allowed to resume|https://www.inquirer.com/news/pennsylvania/east-whiteland-data-center-project-20260730.html"
east-vincent-pennhurst,Pennhurst campus,Penn Hurst Holdings DE LLC,"East Vincent Township (Chester County), PA",PA,40.172,-75.567,,,,2026-05-21,pending_litigating,,,,,,,,,,,,high,"Township supervisors unanimously denied the conditional-use application for the 1.9M sq ft campus on 123 acres of the historic Pennhurst property on May 21, 2026 (written decision June 2). The developer appealed to the Chester County Court of Common Pleas on June 26, 2026; no hearing date was set as of early August 2026.","Philadelphia Inquirer (May 22, 2026) - denial coverage|https://www.inquirer.com/news/pennsylvania/pennhurst-data-center-rejected-east-vincent-20260522.html;WFMZ - East Vincent rejects Pennhurst proposal, developer plans court fight|https://www.wfmz.com/news/area/southeastern-pa/northern-chester-county/east-vincent-rejects-pennhurst-data-center-proposal-developer-plans-to-take-fight-to-court/article_a2a347e4-0a34-4842-b366-cdb732326783.html;Vista Today (July 2026) - appeal filed in Chester County court|https://vista.today/2026/07/pennhurst-data-center-appeal-east-vincent/"
blakely-campus,Blakely campus,Jim Marzolino and Alpesh Patel,"Blakely (Lackawanna County), PA",PA,41.481,-75.595,,,,2025-09-12,died,,,,,,,,,,,,high,"Developers withdrew the rezoning request for the roughly 200-acre, four-building campus in September 2025, days before a scheduled hearing, after the borough declined to hold another informational meeting amid heavy resident opposition; no refiled data center application was found as of August 2026. The developers said they would continue generic site work (clearing, grading) under existing zoning, but no relocation of the project is documented.","Fox56 (Sept 12, 2025) - developers withdraw zoning request|https://fox56.com/news/local/blakely-data-center-developers-withdraw-zoning-request;WNEP - data center proposal for Blakely withdrawn|https://www.wnep.com/article/news/local/lackawanna-county/data-center-developer-withdraws-proposal-for-blakely-construction/523-976b3357-7ae2-4da0-b0f5-55eb44fb7afa;Times-Tribune via Yahoo - withdrawn days ahead of zoning hearing|https://www.yahoo.com/news/articles/data-center-project-withdrawn-blakely-190200268.html;Lackawanna County - withdrawal notice|https://www.lackawannacounty.com/news/blakely-data-center-developers-withdraw-zoning-request"
plymouth-township-dc,Plymouth Township data center,Brian J. O'Neill,"Plymouth Township (Montgomery County), PA",PA,40.095,-75.288,,,,2025-11-17,pending_litigating,,,,,,,,,,,6,high,"The 2M sq ft proposal for the closed Cleveland-Cliffs steel mill at 900 Conshohocken Road was withdrawn November 17, 2025 over a legal-standing defect (unfinalized agreement of sale), then resubmitted roughly six months later in spring 2026. Zoning hearing board proceedings were still underway and contentious as of a packed August 6, 2026 hearing, with the township council, county commissioners, and Governor Shapiro publicly opposed, and the developer has since filed a substantive validity challenge arguing the zoning ordinance fails to provide for data centers. No decision has been issued.","6abc (Nov 18, 2025) - developer withdraws plan after legal issue|https://6abc.com/post/developer-withdraws-plymouth-township-data-center-plan-legal-issue-halts-zoning-meeting/18167772/;Philadelphia Inquirer (Aug 7, 2026) - raucous zoning hearing on O'Neill plan|https://www.inquirer.com/real-estate/commercial/plymouth-township-data-center-brian-oneill-20260807.html;WHYY - proposal resubmitted six months after forced withdrawal|https://whyy.org/articles/conshohocken-data-center-proposal-plymouth-township-pushes-back/;Montco Today (July 2026) - 43 conditions dispute|https://montco.today/2026/07/plymouth-township-data-center-fight-oneill-conditions/"
edgecombe-ess,Kingsboro megasite project,Energy Storage Solutions,"Edgecombe County (Tarboro), NC",NC,35.897,-77.536,19.2,developer-announced,900,2025-09-08,died,,,,,,,,,,,,high,"Tarboro's town council denied the special-use permit 7-1 on September 8, 2025, the county denied a separate permit, and ESS's withdrawal was announced at the July 6, 2026 commissioners meeting, with the company citing investors' push toward 'friendlier communities' and saying it had reached a settlement to drop its lawsuit against Tarboro. No relocation of the $19.2B Kingsboro project has been documented.",Data Center Dynamics|https://www.datacenterdynamics.com/en/news/north-carolina-ai-data-center-proposal-withdrawn-as-county-officials-mull-moratorium/;Bisnow|https://www.bisnow.com/national/news/data-center-development/north-carolina-data-center-canceled-as-county-debates-moratorium-135338;CBS17|https://www.cbs17.com/news/local-news/tarboro-data-center-project-appeals-rejection-by-town-council-saying-site-would-generate-11-million-per-year-in-revenue/;My Tarboro Today|https://mytarborotoday.com/council-denies-data-center-application-applicant-promises-appeal-in-s-p2757-106.htm;Rocky Mount Telegram / Reflector|http://www.reflector.com/news/local/company-that-eyed-edgecombe-for-data-center-withdraws/article_44994c99-d9ae-52de-9d1a-32475164f8bb.html;WRAL|https://www.wral.com/news/local/tarboro-town-council-rejects-data-center-plan-environmental-community-concerns-sept-2025/
san-marcos-rezoning,San Marcos data center rezoning,Highlander SM One LLC,"San Marcos (Hays County), TX",TX,29.883,-97.941,1.5,developer-announced,,2026-02-18,died,,,,,,,,,,,,high,"Council denied Highlander SM One's ~200-acre rezoning 5-2 near 3 a.m. on February 18, 2026 after roughly nine hours of testimony, the site's second failed application since August 2025, then voted 4-3 on June 16, 2026 to remove data centers from every zoning district, making San Marcos the first Texas city with a citywide ban. The $1.5B figure is the project's reported potential valuation; no relocation has been documented, though a state senator has threatened a legal challenge to the ban itself.",Community Impact|https://communityimpact.com/austin/san-marcos-buda-kyle/government/2026/06/17/san-marcos-council-votes-to-prohibit-data-centers-in-all-zoning-districts/;The University Star|https://universitystar.com/34645/news/city-council-votes-to-deny-francis-harris-lane-data-center-project/;Texas Tribune|https://www.texastribune.org/2026/06/30/texas-san-marcos-data-center-ban-zoning-laws/;KVUE|https://www.kvue.com/article/news/local/hays-county/san-marcos-data-center-debate/269-26ebd1b0-1dfa-443b-b5ec-05016bcc0b7c;KXAN|https://www.kxan.com/news/local/san-marcos/state-senator-plans-to-challenge-san-marcos-data-center-ban-says-city-lacks-legal-authority/;Spectrum News|https://spectrumlocalnews.com/tx/south-texas-el-paso/news/2026/02/18/san-marcos-city-council-rejects-data-center-land-plan
coweta-project-sail,Project Sail,Prologis (Atlas Development LLC),"Coweta County, GA",GA,33.35,-84.76,17,developer-announced,900,2026-05-05,pending_litigating,,,,,,,,,,,,high,"Commissioners approved the 829-acre, 900MW, $17B campus 3-2 on April 7, 2026, and nearly 20 residents sued in Coweta County Superior Court on May 5, 2026 to void the rezoning over procedural and wetlands-review claims. No court ruling had been reported as of early August 2026, and the county has separately kept a freeze on new data center applications.",The Citizen|https://thecitizen.com/2026/05/11/coweta-residents-sue-to-block-project-sail-data-center/;Data Center Dynamics|https://www.datacenterdynamics.com/en/news/prologis-900mw-project-sail-gets-the-go-ahead-in-coweta-county-georgia/;Atlanta Journal-Constitution|https://www.ajc.com/business/2026/04/coweta-votes-to-turn-this-800-acre-forest-into-17b-data-center-campus/;WSB-TV|https://www.wsbtv.com/news/local/residents-sue-county-government-developer-over-17b-data-center-construction/FJP7PCHLCNCYBGQ6HGGQJWABSE/;Times-Herald (Newnan)|https://www.times-herald.com/news/coweta-extends-data-center-freeze-amid-competing-resident-demands/article_8eadd95e-6b70-4217-a79f-525e424cd009.html
stokes-county-1800,"Stokes County 1,800-acre project (Project Delta)",Engineered Land Solutions,"Stokes County (Walnut Cove), NC",NC,36.295,-80.141,,,,2026-03-12,pending_litigating,,,,,,,,,,,7,high,"Commissioners approved the 1,848-acre Project Delta rezoning on January 12, 2026, then voided it in April 2026 after a March 12 SCSJ/SELC lawsuit exposed a defective hearing notice. The board rejected a recommended moratorium and re-opened a permitting path on July 13, 2026. The developer resubmitted the week of July 20, the planning board recommended denial of the new application on August 14, 2026, and the commissioners' public hearing is set for September 8, so nothing has been rebuilt or re-approved yet.",Clean Water for North Carolina|https://cwfnc.org/stokes/;Southern Coalition for Social Justice explainer|https://southerncoalition.org/resource/stokes-county-and-data-centers-explainer/;FOX8 WGHP|https://myfox8.com/news/north-carolina/stokes/stokes-county-votes-to-start-proposed-data-center-development-over-again-after-lawsuit/;WFMY News 2|https://www.wfmynews2.com/article/news/local/stokes-county-commissioners-reject-data-center-moratorium-project-delta-looms/83-dd17b48a-79f1-442c-a13c-afca1868db37;Inside Climate News|https://insideclimatenews.org/news/19032026/north-carolina-county-data-center-rezoning-lawsuit/
